key	nonce	ru
econ		Экономика
gov		Политическая система
soct		Общество
rel		Религия
for		Внешняя политика
legal		Безопасность
o		Я абсолютно не согласен со всеми этими мнениями
a		Меня не волнует этот вопрос
prev		Предыдущий вопрос
nota		Другое
idc		Апатия
cent		Смесь взглядов
com		Безденежная экономика
soc		Государственное планирование
socdem		Социально-ориентированный рынок
clas		Классический либерализм
ordo		Ордолиберализм
cap		Laissez-faire
opt		Смешанная экономика
marksoc		Планирование с элементами рынка
trad		Традиционализм
free		Свобода
prog		Умеренность
just		Социальная справедливость
sec		Секуляризм
athe		Антиклерикализм
theo		Государственная религия
hybr		Умеренная религия
dir		Прямая демократия
dir*		Электронная демократия
rep		Унитарная демократия
rep*		Федеративная демократия
repub		Федеративная республика
repub*		Конфедерация
auth		Авторитаризм
auth*		Монархия
anar		Анархизм
plut		Плутократия
glob		Интернационализм
glob*		Глобализм
pop		Национал-популизм
sov		Национальный суверенитет
iso		Изоляционизм
nat		Национализм
nat*		Империализм
open		Автономизм
decn		Децентрализация
lao		Закон и порядок
hum		Реформизм
hum*		Гуманизм
prot		Государственная безопасность
prot*		Тотальная безопасность
quizname		EcoPolCharts
nota	desc	Если вы получили «Другое», значит, ваше видение определённых вопросов не согласуется с основными мнениями, которые есть в этом тесте, упрощающим вопросы для подавляющего большинства людей. Может быть, у вас уже есть для себя конкретный ярлык ваших собственных взглядов.
idc	desc	«Апатия» — это отсутствие интереса к определённым вопросам. Они могут не затрагивать вас, или вы просто можете не считать, что какой-либо один вариант лучше других. Некоторые апатичные люди просто могут больше заботиться о нескольких других вопросах и быть апатичными в отношении других.
cent	desc	«Смесь взглядов» — это сочетание элементов нескольких чрезвычайно разных мнений по различным вопросам, отсутствие сильного предпочтения между разными взглядами.
com	desc	«Безденежная экономика» обозначает общественное устройство, производящее всё необходимое для удовлетворения потребностей людей без какой-либо денежной системы или оплаты. Как правило, такое описание подразумевает использование автоматизированного варианта экономики, основанной на компьютерном планировании с целью наиболее эффективного и быстрого способа распределения ресурсов.
soc	desc	Экономика контролируется государством во многих отраслях, а ресурсы обычно распределяются централизованно в соответствии с планом с целью предотвращения кризисов и неравенства. Частная промышленность обычно отвергается сторонниками планирования в пользу государственной. Рабочие при этом непосредственно владеют средствами производства и получают стоимость своего труда.
marksoc	desc	Сочетание государственного плана вместе с рыночной конкуренцией, использование рыночного механизма ценообразования в государственных предприятиях в целях предоставления им большей гибкости. Любой человек при такой системе может иметь возможность открыть малое предприятие, чтобы обеспечить выбор для потребителей и при этом гарантировать рабочим стоимость их труда.
socdem	desc	Сильное вмешательство государства в экономику с целью защиты социального благополучия граждан. Хотя такая система не отвергает капитализм, она стремится обязать государство сильнее финансировать программы социального обеспечения, регулировать рынок и следить за тем, чтобы результаты его работы были справедливыми и не вредили бедным.
opt	desc	Гибридный вариант экономики, сочетающий в себе как государственный сектор, так и частный с элементами свободного рынка. В основном, это можно описать как убеждение, что государственные предприятия должны производить базовые услуги по доступной цене, но также они должны конкурировать с частными рынками по ценам или качеству, чтобы дать людям лучшее из того и другого.
ordo	desc	Под «ордолиберализмом» понимается убеждение, что государство должно регулировать деятельность компаний, чтобы капитализм работал как можно лучше, обеспечивая малому бизнесу возможность конкурировать с крупным. Сторонники ордолиберализма твёрдо поддерживают капитализм, но считают, что государство должно обеспечивать конкуренцию в большинстве случаев.
clas	desc	Минимальное государственное вмешательство в экономику за исключением крайних случаев эксплуатации и ситуаций, когда компании не могут предоставить потребителю то, что они рекламировали. В остальном, сторонники «экономического либерализма» также твёрдо поддерживают систему рыночной экономики, частной собственности и свободного предпринимательства.
cap	desc	Полное отсутствие вмешательства государства (если оно вообще существует) в работу рынков, полагаясь исключительно на рыночные механизмы производства и распределения товаров через индивидуальный выбор потребителя. Приверженцы данной доктрины считают, что без регулирования рынки будут открыты для всех и, таким образом, сами установят справедливые цены.
dir	desc	Прямое участие людей в управлении государством, с возможностью влияния на политику посредством инициированных избирательных мер по выдвижению политических предложений и регулярного голосования по различным вопросам на национальных референдумах.
dir*	desc	Форма демократии с использованием интернет-технологий, позволяющим проводить частые и открытые референдумы в онлайн-формате с более интерактивным взаимодействием между пользователями; это также может принимать иные варианты организации, к примеру, когда человек может делегировать свой голос другому для создания более представительной формы электронной демократии.
rep	desc	Власть по большей части принадлежит национальному правительству, устанавливающему единую законодательную систему на всей территории страны, которая, как правило, не имеет в своём составе каких-либо региональных автономий или субъектов. Избирание в органы власти обычно происходит по партийным спискам с пропорциональным представительством на национальном уровне; каждый голос имеет равное количество мест.
rep*	desc	Разделение власти между национальным правительством и местными региональными органами власти с соблюдением баланса сил: провинции обладают умеренной автономией, но при этом национальное правительство является пропорциональным в масштабах страны, а не состоит из представителей, избираемых по округам.
repub	desc	Власть по большинству вопросов передана провинциям, которые обладают широкой автономией и полномочиями издавать собственные региональные законы. Представители, избираемые в местные органы власти, представляют конкретный округ, а не всю нацию в целом; распределение мест в законодательных органах взвешено таким образом, чтобы обеспечить влияние менее населённых провинций.
repub*	desc	Местные муниципальные органы власти являются основной территориальной единицей управления, которые обладают собственным суверенитетом, законодательством и имеют безусловное право на отделение; в то время как слабое национальное правительство имеет очень ограниченные полномочия. Фактически, конфедерация представляет собой союз небольших местных провинций с сильной децентрализации власти.
auth	desc	Правительством управляет один диктатор или другой подобный правитель, правящий страной пожизненно. Власть передаётся недемократическим путём — назначается предыдущим лидером страны и не зависит от народного ободрения. При этом народ, как правило, не имеет возможности существенно влиять на политику государства.
auth*	desc	Властью обладает единственный наследственный правитель-монарх, правящий пожизненно и обладающий правом единоличного принятия решений для всей нации, олицетворяющий её единство вместе с исторической преемственностью традиций. Власть передаётся недемократически — по наследству, и не зависит от народного ободрения. Народ зачастую не имеет какой-либо возможности влиять на политику государства.
